#############################################
# term	total document / document frequency #
#############################################
000.00	1119.375
000001	4477.5
000004	4477.5
00:00	2558.57142857
000155	1492.5
000157	4477.5
0.00%	3582.0
000420	2558.57142857
000423	4477.5
000488	2238.75
000521	4477.5
000550	1053.52941176
000559	1791.0
000596	4477.5
000657	3582.0
000680	3582.0
000726	4477.5
000	74.9372384937
000758	4477.5
000762	1791.0
000779	3582.0
000807	4477.5
000815	4477.5
000858	2558.57142857
000861	4477.5
000911	4477.5
000923	4477.5
000930	4477.5
000996	1492.5
000万	559.6875
0015	3582.0
0.018	1119.375
0018	2238.75
002029	1119.375
0021	3582.0
0：0	2985.0
00:30	2985.0
0.03	895.5
0040	2985.0
0049	1990.0
0053	2985.0
0-0	814.090909091
0092	3582.0
00	94.2631578947
0094	2985.0
0:0	995.0
01:00	1791.0
010-12300	5970.0
0102	3582.0
010-58690999	3582.0
010-64098930	3582.0
010-68212300	5970.0
0.114	1119.375
0：1	1990.0
0:1	2238.75
01	226.708860759
0．12	2985.0
0.12	895.5
0144	331.666666667
0.145	1119.375
0151	2985.0
0．15	2238.75
0.15	688.846153846
0.1	577.741935484
0169	2558.57142857
0-180	5970.0
0．18	2985.0
0.18	639.642857143
0-1	895.5
02:00	1628.18181818
0.20%	4477.5
020	617.586206897
0.20	716.4
0．2	1119.375
0.21	1492.5
021-51575678	426.428571429
0：2	1628.18181818
021	94.7619047619
0224	2985.0
0228	2558.57142857
0.22	852.857142857
02	293.606557377
0:2	2985.0
02:30	2558.57142857
0231	2238.75
0．24	3582.0
0244	2558.57142857
0.2	459.230769231
0246	2558.57142857
0.24	746.25
0249	2985.0
0.25%	1990.0
0．25	2558.57142857
0.25	319.821428571
0258	2985.0
0260	2238.75
0261	2238.75
0262	2238.75
0.265	4477.5
0.26	942.631578947
0-2	716.4
0277	2985.0
027	942.631578947
0.27	995.0
0.28%	4477.5
0.29	3582.0
=0	2985.0
030002	1990.0
03:00	2985.0
0.30	814.090909091
0-3	1990.0
03	201.235955056
0355	3582.0
0356	2985.0
0357	2985.0
0.3	577.741935484
0359	2985.0
0.37	1377.69230769
038004	4477.5
0.38%	4477.5
0.40	852.857142857
0-4	2558.57142857
0．4	2558.57142857
0：4	2985.0
04:30	2985.0
0.4	526.764705882
0.499	1492.5
05:00	2238.75
050105	3582.0
0.50	639.642857143
0509	1990.0
0522	2985.0
05	64.6570397112
0596	2558.57142857
06:00	2238.75
0.60	1119.375
06023	2238.75
06024	2985.0
06031	814.090909091
06032	1628.18181818
0607	2558.57142857
0609	4477.5
0.61	3582.0
06:30	2558.57142857
0631	3582.0
063	1791.0
06	54.2727272727
0.65	995.0
0.66%	5970.0
067	1492.5
0.67	4477.5
069	1377.69230769
06月	5970.0
07:00	2558.57142857
0701	3582.0
0703	4477.5
0711	3582.0
07	115.548387097
0.71	1990.0
0.72	852.857142857
07:30	2558.57142857
0.73	895.5
074	2985.0
0.74%	3582.0
0.7	559.6875
0.79	4477.5
08	172.211538462
0.82	942.631578947
08:30	2238.75
0.83	4477.5
0.85%	3582.0
0911	2985.0
0917	3582.0
0939.HK	3582.0
09	511.714285714
095	2558.57142857
09:55	2558.57142857
0.96%	3582.0
098	4477.5
0.99%	3582.0
09日	344.423076923
0秒	2238.75
0日	1492.5
100.00%	2238.75
100.00	2238.75
100007	1053.52941176
1000	28.5191082803
10：00	617.586206897
1000万	129.782608696
100%	102.931034483
100	15.8635961027
1：00-3：00	4477.5
1.00	688.846153846
100-88	1990.0
100万	96.2903225806
10％	102.931034483
1:0	1377.69230769
10.	173.883495146
10.17%	4477.5
10-	1990.0
102%	4477.5
1.02	5970.0
